model,MAE,RMSE,MAPE,R2,case,RMSLE
Naive,1984257.341107872,2293204.920977499,36573.909773631865,-1.7292891831588628,case1,
SeasonalNaive,1545680.55393586,1982400.5742110435,286277.6127704364,-1.0396077501297247,case1,
ETS,1283799.1398757214,1663559.677144112,240695.9138209397,-0.43628489743027,case1,
ARIMAX,1196537.26369844,1429883.2599679667,176498.23370806116,-0.0611211905216606,case1,
SARIMAX,1135337.5509701765,1493271.2756876536,224166.3330612456,-0.1572874571648284,case1,
LinearRegression,620325.8514917745,867073.0971224554,16361.734882505543,0.6098107978471243,case1,
RandomForest,603653.5606050023,891061.1664438723,24673.065182922663,0.58792254197762,case1,
XGBoost,639205.3792649872,883447.0523586691,34236.86336473463,0.59493488073349,case1,
Deep NN,2295391.0057986514,2682129.111403796,139.47447313490466,-2.73356032371521,case1,
Shallow NN,626881.2814549927,903218.5104625816,21131.39602405432,0.5766013264656067,case1,
CatBoost,601588.9643689988,876593.994073405,15394.606125142122,0.601194806392789,case1,
Naive,79244.03448275862,90169.44138044812,10.123945610694651,-0.2609837296682993,case2,0.1118327958300648
SeasonalNaive,80141.06896551725,95030.72891021564,10.080255871282064,-0.4006152334830017,case2,0.116365790914148
ETS,85109.23841600973,96489.188481674,10.894350419597714,-0.4439362925645718,case2,0.1191235813888269
ARIMAX,78477.51511880245,89391.36549176146,10.01352124137914,-0.2393154600735216,case2,0.110863100520715
SARIMAX,99706.8916665087,118308.24040342914,12.878817170906698,-1.1708045090468224,case2,0.143041207644858
LinearRegression,121.70978206229616,272.9552543767742,70.60879447973237,0.5340894106989424,case2,0.6884327896482714
RandomForest,83.43462634644591,175.13924624575438,49.23418276165639,0.8081832112420371,case2,0.5288183865210186
XGBoost,103.63005472891771,229.3289946865784,58.86633244854757,0.6711198687553406,case2,0.6000924680134981
Deep NN,92.93079024022336,215.97127911712943,52.1237304382646,0.7083166241645813,case2,0.5491809361701269
Shallow NN,98.5469127783495,221.2939044365712,55.61886200731424,0.6937623023986816,case2,0.5725472041106909
CatBoost,72.37826037349916,174.86852754185537,45.25189027085501,0.7597730714607749,case2,
Naive,0.2309204873836004,0.297771993415648,7.003360239305778,-0.3172153973789862,case3,
SeasonalNaive,0.2506457402286817,0.3132349103497185,7.560534443215536,-0.4575699946371099,case3,
ETS,0.2096603176241084,0.2595270599548855,6.160040344639748,-0.0005859396621434,case3,
ARIMAX,0.2103518271120668,0.2595052751634591,6.165655176029432,-0.0004179676506212,case3,
SARIMAX,0.2094095631871542,0.2593470171744587,6.14776880900595,0.0008018600313477,case3,
LinearRegression,0.9943413216899792,1.2593449537691273,32.59192191441818,0.3983480633452042,case3,
RandomForest,0.8460299330209295,1.0988481391455618,27.36501285803864,0.5419306215326631,case3,
XGBoost,0.978147038711582,1.2473326838856744,31.81699282622452,0.4097710251808166,case3,
Deep NN,0.9881655228968712,1.2578025650114617,32.08248303270105,0.3998209238052368,case3,
Shallow NN,0.9884701558709048,1.2569186054537382,32.20561158285972,0.4006642699241638,case3,
CatBoost,0.9816483911220748,1.2540841657627153,31.940288635673685,0.403364246093017,case3,
Naive,11239.855172413792,11291.134545174871,82.84403736680915,-109.34488115610382,case4,
SeasonalNaive,2444.503448275862,4461.114497367299,18.003211383846107,-16.225179882854732,case4,
ETS,859.2480356041674,1075.5703345005477,6.414083444356088,-0.0012779608588235,case4,
ARIMAX,872.5054540268611,1102.830094740343,6.539162519766549,-0.0526748427012189,case4,
SARIMAX,914.368095475162,1156.0348501917726,6.807034849021125,-0.1566950568052656,case4,
LinearRegression,68.45711540356419,87.12836441992235,286.94465414662614,0.343979377122956,case4,
RandomForest,68.8970480503053,88.05067555502849,297.0312915708477,0.3300170450411845,case4,
XGBoost,68.89409410966694,88.12135215312445,299.03798364738554,0.3289410471916199,case4,
Deep NN,68.4762773175266,87.22777067946662,290.241712790894,0.3424815535545349,case4,
Shallow NN,68.89776393827154,87.73826735346088,306.5431675942812,0.3347628712654114,case4,
CatBoost,68.49633287364368,87.15207633522257,294.9870830332578,0.3436222575498372,case4,
